id,m/p,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,TRUE
1,phrase_line,a,0,0,ο,FALSE,FALSE,TRUE,,,FALSE
2,phrase_line,"b,c",pkk,"1,1",μό,TRUE,FALSE,FALSE,,,FALSE
3,phrase_line,a,a2,-2,νος,FALSE,FALSE,TRUE,,,FALSE
4,phrase_line,a,0,0,ει,FALSE,FALSE,FALSE,,,FALSE
5,phrase_line,a,oo0,0,δώς,TRUE,FALSE,TRUE,,,FALSE
6,phrase_line,G,a,-1,της,FALSE,FALSE,TRUE,,,FALSE
7,phrase_line,E,a2,-2,των,FALSE,TRUE,TRUE,,,FALSE
8,phrase_line,F,kk,1,-,FALSE,FALSE,TRUE,,,FALSE
9,phrase_line,"G,a",okk,"1,1",βρο,FALSE,FALSE,FALSE,,,FALSE
10,phrase_line,a,0,0,τών,TRUE,FALSE,TRUE,ap,,TRUE
11,phrase_line,a,0,0,ου,FALSE,FALSE,FALSE,,,FALSE
12,phrase_line,"b,c",pkk,"1,1",σί,TRUE,FALSE,FALSE,,,FALSE
13,phrase_line,a,a2,-2,ας,FALSE,FALSE,TRUE,,,FALSE
14,phrase_line,b,p,1,την,FALSE,FALSE,TRUE,,,FALSE
15,phrase_line,G,a2,-2,α,FALSE,FALSE,FALSE,,,FALSE
16,phrase_line,"a,b",okk,"1,1",σθέ,TRUE,FALSE,FALSE,,,FALSE
17,phrase_line,c,o,1,νει,FALSE,FALSE,FALSE,,,FALSE
18,phrase_line,c,0,0,αν,FALSE,FALSE,TRUE,,,TRUE
19,phrase_line,c,0,0,και,FALSE,FALSE,TRUE,,,FALSE
20,phrase_line,c,0,0,συμ,FALSE,FALSE,FALSE,,,FALSE
21,phrase_line,c,0,0,πα,FALSE,FALSE,FALSE,,,FALSE
22,phrase_line,d,p,1,θώς,TRUE,FALSE,TRUE,,,FALSE
23,phrase_line,c,a,-1,αυ,FALSE,FALSE,FALSE,,,FALSE
24,phrase_line,d,p,1,τήν,TRUE,FALSE,TRUE,,,FALSE
25,phrase_line,c,a,-1,μορ,FALSE,FALSE,FALSE,kl,,FALSE
26,phrase_line,b,a,-1,φω,FALSE,FALSE,FALSE,,,FALSE
27,phrase_line,c,oo,1,σά,TRUE,FALSE,FALSE,,,FALSE
28,phrase_line,b,a,-1,με,FALSE,FALSE,FALSE,,,FALSE
29,phrase_line,a,aa,-1,νος,FALSE,TRUE,TRUE,,,FALSE
30,phrase_line,"b,c",kkoo,"1,1",-,FALSE,FALSE,TRUE,,,TRUE
31,phrase_line,c,0,0,πε,FALSE,FALSE,FALSE,,,FALSE
32,phrase_line,d,p,1,ρι,FALSE,FALSE,FALSE,,,FALSE
33,phrase_line,c,a,-1,ζω,FALSE,FALSE,FALSE,,,FALSE
34,phrase_line,d,p,1,σόν,TRUE,FALSE,TRUE,,,FALSE
35,phrase_line,c,a,-1,με,FALSE,FALSE,TRUE,,,FALSE
36,phrase_line,d,p,1,εξ,FALSE,FALSE,FALSE,,,FALSE
37,phrase_line,c,a,-1,ύ,TRUE,FALSE,FALSE,kl,,FALSE
38,phrase_line,b,a,-1,ψους,FALSE,FALSE,TRUE,,,FALSE
39,phrase_line,c,oo,1,δύ,TRUE,FALSE,FALSE,,,FALSE
40,phrase_line,b,a,-1,να,FALSE,FALSE,FALSE,,,FALSE
41,phrase_line,a,a,-1,μιν,FALSE,TRUE,TRUE,v,v,FALSE
42,phrase_line,b,kk,1,-,FALSE,TRUE,TRUE,v,,FALSE
43,phrase_line,a,a,-1,-,FALSE,TRUE,TRUE,di,di,FALSE
44,phrase_line,G,a,-1,-,FALSE,FALSE,TRUE,di,,TRUE
45,phrase_line,a,o,1,του,FALSE,FALSE,TRUE,,,FALSE
46,phrase_line,b,o,1,βο,FALSE,FALSE,FALSE,,,FALSE
47,phrase_line,c,p,1,άν,TRUE,FALSE,TRUE,,,FALSE
48,phrase_line,G,a3,-3,σοι,FALSE,FALSE,TRUE,,,FALSE
49,phrase_line,c,oo3,3,ά,TRUE,FALSE,FALSE,,,FALSE
50,phrase_line,b,a,-1,γι,FALSE,FALSE,FALSE,,,FALSE
51,phrase_line,a,a,-1,ε,FALSE,TRUE,TRUE,vv,vv,FALSE
52,phrase_line,b,kk,1,-,FALSE,TRUE,TRUE,vv,vv,FALSE
53,phrase_line,G,e,-2,-,FALSE,FALSE,TRUE,vv,,TRUE
54,phrase_line,a,o,1,ο,FALSE,FALSE,TRUE,,,FALSE
55,phrase_line,b,o,1,να,FALSE,FALSE,FALSE,,,FALSE
56,phrase_line,c,p,1,ός,TRUE,FALSE,TRUE,,,FALSE
57,phrase_line,G,a3,-3,ο,FALSE,FALSE,TRUE,,,FALSE
58,phrase_line,a,o,1,έμ,TRUE,FALSE,FALSE,,,FALSE
59,phrase_line,c,k,2,ψυ,FALSE,TRUE,FALSE,v,v,FALSE
60,phrase_line,b,a,-1,-,FALSE,FALSE,FALSE,v,,FALSE
61,phrase_line,c,o,1,χος,FALSE,TRUE,TRUE,dd,,FALSE
62,phrase_line,d,p,1,-,FALSE,FALSE,TRUE,,,TRUE
63,phrase_line,b,a2,-2,της,FALSE,FALSE,TRUE,,,FALSE
64,phrase_line,c,o,1,α,FALSE,FALSE,FALSE,,,FALSE
65,phrase_line,d,p,1,φρά,TRUE,FALSE,FALSE,,,FALSE
66,phrase_line,c,a,-1,στου,FALSE,FALSE,TRUE,,,FALSE
67,phrase_line,c,0,0,σου,FALSE,FALSE,TRUE,,,FALSE
68,phrase_line,d,p,1,δό,TRUE,FALSE,FALSE,,,FALSE
69,phrase_line,c,a,-1,ξης,FALSE,TRUE,TRUE,"di,kl","di,kl",FALSE
70,phrase_line,b,a,-1,-,FALSE,FALSE,TRUE,"di,kl",,FALSE
71,phrase_line,a,a,-1,φι,FALSE,FALSE,FALSE,,,FALSE
72,phrase_line,c,oo2,2,λάν,TRUE,FALSE,FALSE,,,FALSE
73,phrase_line,b,a,-1,θρω,FALSE,FALSE,FALSE,,,FALSE
74,phrase_line,a,a,-1,πε,FALSE,FALSE,TRUE,,,TRUE
