id,m/p,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,ο,False,False,True,,,False
2,phrase_line,d,o3,3,μό,True,False,False,,,False
3,phrase_line,d,p0,0,νος,False,False,True,,,False
4,phrase_line,c,a,-1,ει,False,False,False,,,False
5,phrase_line,c,p0,0,δώς,True,False,True,,,False
6,phrase_line,a,a2,-2,της,False,False,True,,,False
7,phrase_line,b,o,1,των,False,False,True,,,False
8,phrase_line,c,o,1,βρο,False,False,False,"g,is",,False
9,phrase_line,d,o,1,τών,True,False,True,ap,,True
10,phrase_line,c,a,-1,ου,False,False,False,,,False
11,phrase_line,e,o2,2,σί,True,False,False,g,,False
12,phrase_line,e,0,0,ας,False,False,True,,,False
13,phrase_line,e,p0,0,την,False,False,True,klr,,False
14,phrase_line,d,a,-1,α,False,False,False,"g,l",l,False
15,phrase_line,e,p,1,σθέ,True,False,False,"g,l",,False
16,phrase_line,d,a,-1,νει,False,False,False,,,False
17,phrase_line,d,0,0,αν,False,False,True,ap,,True
18,phrase_line,c,a,-1,και,False,False,True,,,False
19,phrase_line,c,0,0,συμ,False,False,False,,,False
20,phrase_line,c,0,0,πα,False,False,False,,,False
21,phrase_line,d,o,1,θώς,True,False,True,ap,,True
22,phrase_line,c,a,-1,αυ,False,False,False,,,False
23,phrase_line,d,o,1,τήν,True,False,True,,,False
24,phrase_line,d,p0,0,μορ,False,False,False,anr,anr,False
25,phrase_line,c,a,-1,φω,False,True,False,"anr,klr,v","anr,klr,v",False
26,phrase_line,b,a,-1,-,False,False,False,"anr,klr,v",,False
27,phrase_line,c,oo,1,σά,True,False,False,psr,,False
28,phrase_line,b,a,-1,με,False,False,False,,,False
29,phrase_line,a,aa,-1,νος,False,False,True,,,True
30,phrase_line,a,0,0,πε,False,False,False,,,False
31,phrase_line,e,oo4,4,ρι,False,False,False,g,,False
32,phrase_line,e,0,0,ζω,False,False,False,,,False
33,phrase_line,f,p,1,σόν,True,False,True,klr,,False
34,phrase_line,e,a,-1,με,False,False,True,,,False
35,phrase_line,f,o,1,εξ,False,False,False,,,False
36,phrase_line,g,p,1,ύ,True,False,False,anr,anr,False
37,phrase_line,f,a,-1,ψους,False,True,True,"anr,klr,v","anr,klr,v",False
38,phrase_line,e,a,-1,-,False,False,True,"anr,klr,v",,False
39,phrase_line,f,oo,1,δύ,True,False,False,psr,,False
40,phrase_line,e,a,-1,να,False,False,False,,,False
41,phrase_line,d,aa,-1,μιν,False,False,True,,,True
42,martyria,d,,,,,,,,,True
43,phrase_line,c,a,-1,του,False,False,True,,,False
44,phrase_line,d,o,1,βο,False,False,False,,,False
45,phrase_line,e,p,1,άν,True,False,True,klr,,False
46,phrase_line,d,a,-1,σοι,False,False,True,"g,l",l,False
47,phrase_line,e,p,1,ά,True,False,False,"g,l",,False
48,phrase_line,d,a,-1,γι,False,False,False,,,False
49,phrase_line,d,0,0,ε,False,False,True,ap,,True
50,martyria,d,,,,,,,,,True
51,phrase_line,c,a,-1,ο,False,False,True,,,False
52,phrase_line,d,o,1,να,False,False,False,,,False
53,phrase_line,e,o,1,ός,True,False,True,,,False
54,phrase_line,e,0,0,ο,False,False,True,,,False
55,phrase_line,f,oo,1,έμ,True,False,False,psr,,False
56,phrase_line,e,a,-1,ψυ,False,False,False,,,False
57,phrase_line,d,aa,-1,χος,False,False,True,,,True
58,phrase_line,c,a,-1,της,False,False,True,,,False
59,phrase_line,c,0,0,α,False,False,False,,,False
60,phrase_line,e,oo2,2,φρά,True,False,False,psr,,False
61,phrase_line,d,a,-1,στου,False,False,True,,,False
62,phrase_line,c,a,-1,σου,False,False,True,,,False
63,phrase_line,c,oo0,0,δό,True,False,False,"klr,psr",,False
64,phrase_line,b,a,-1,ξης,False,False,True,,,False
65,phrase_line,a,a,-1,φι,False,False,False,,,False
66,phrase_line,d,p3,3,λάν,True,True,False,"g,psr",,False
67,phrase_line,d,0,0,-,True,True,False,v,v,False
68,phrase_line,c,a,-1,-,True,False,False,v,,False
69,phrase_line,c,0,0,θρω,False,True,False,"g,is,v",v,False
70,phrase_line,b,a,-1,-,False,True,False,v,,False
71,phrase_line,b,p0,0,-,False,True,False,l,l,False
72,phrase_line,a,a,-1,-,False,False,False,l,,False
73,phrase_line,a,0,0,πε,False,False,True,ap,,True
