id,m/p,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,p0,0,ο,False,False,True,,,False
2,phrase_line,G,a,-1,φω,False,False,False,,,False
3,phrase_line,a,o,1,τί,True,False,False,,,False
4,phrase_line,a,0,0,σας,False,True,True,om,om,False
5,phrase_line,c,oo2,2,-,False,True,True,om,om,False
6,phrase_line,b,a,-1,-,False,True,True,om,om,False
7,phrase_line,a,a,-1,-,False,False,True,om,,False
8,phrase_line,G,a,-1,τη,False,False,True,,,False
9,phrase_line,a,o,1,ελ,False,False,False,,,False
10,phrase_line,b,o,1,λάμ,True,False,False,,,False
11,phrase_line,c,o,1,ψει,False,False,True,,,False
12,phrase_line,c,0,0,της,False,False,True,,,False
13,phrase_line,d,p,1,σής,True,False,True,,,False
14,phrase_line,b,a2,-2,πα,False,True,False,,,False
15,phrase_line,c,kk,1,-,False,False,False,,,False
16,phrase_line,a,a2,-2,ρου,False,False,False,,,False
17,phrase_line,b,o,1,σί,True,True,False,dd,,False
18,phrase_line,c,oo,1,-,True,False,False,kl,,False
19,phrase_line,a,a2,-2,ας,False,False,True,,,False
20,phrase_line,a,0,0,χρι,False,False,False,,,False
21,phrase_line,a,0,0,στέ,True,False,True,,,True
22,phrase_line,b,p,1,και,False,False,True,,,False
23,phrase_line,G,a2,-2,φαι,False,False,False,,,False
24,phrase_line,a,o,1,δρύ,True,False,False,,,False
25,phrase_line,a,0,0,νας,False,True,True,om,om,False
26,phrase_line,c,oo2,2,-,False,True,True,om,om,False
27,phrase_line,b,a,-1,-,False,True,True,om,om,False
28,phrase_line,a,a,-1,-,False,False,True,om,,False
29,phrase_line,G,a,-1,τω,False,False,True,,,False
30,phrase_line,a,o,1,σταυ,False,False,False,,,False
31,phrase_line,b,o,1,ρώ,True,False,True,,,False
32,phrase_line,c,o,1,σου,False,False,True,,,False
33,phrase_line,c,0,0,του,False,False,True,,,False
34,phrase_line,d,p,1,κό,True,False,False,,,False
35,phrase_line,c,a,-1,σμου,False,False,True,kl,,False
36,phrase_line,b,a,-1,τα,False,False,True,,,False
37,phrase_line,c,oo,1,πέ,True,False,False,,,False
38,phrase_line,b,a,-1,ρα,False,False,False,,,False
39,phrase_line,a,aa,-1,τα,False,True,True,,,False
40,phrase_line,"b,c",kkoo,"1,1",-,False,False,True,,,True
41,phrase_line,c,0,0,τας,False,False,True,,,False
42,phrase_line,c,0,0,καρ,False,False,False,,,False
43,phrase_line,c,p0,0,δί,True,False,False,,,False
44,phrase_line,b,a,-1,ας,False,False,True,,,False
45,phrase_line,c,oo,1,φώ,True,False,False,,,False
46,phrase_line,b,a,-1,τι,False,False,False,,,False
47,phrase_line,a,a,-1,σον,False,False,True,kl,,True
48,phrase_line,G,a,-1,φω,False,False,False,,,False
49,phrase_line,a,o,1,τί,True,False,True,,,False
50,phrase_line,b,o,1,της,False,False,True,,,False
51,phrase_line,c,o,1,σής,True,True,True,dd,,False
52,phrase_line,d,p,1,-,True,False,True,,,False
53,phrase_line,c,a,-1,θε,False,False,False,,,False
54,phrase_line,b,a,-1,ο,False,False,False,kl,,False
55,phrase_line,a,a,-1,γνω,False,False,False,,,False
56,phrase_line,c,k,2,σί,True,True,False,v,v,False
57,phrase_line,b,a,-1,-,True,False,False,v,,False
58,phrase_line,c,o,1,ας,False,True,True,dd,,False
59,phrase_line,d,p,1,-,False,False,True,,,True
60,phrase_line,c,a,-1,των,False,False,True,,,False
61,phrase_line,d,p,1,ορ,False,False,False,,,False
62,phrase_line,c,a,-1,θο,False,False,False,,,False
63,phrase_line,c,p0,0,δό,True,False,False,,,False
64,phrase_line,b,a,-1,ξως,False,False,True,kl,,False
65,phrase_line,a,a,-1,υ,False,False,False,,,False
66,phrase_line,c,oo2,2,μνού,True,False,False,,,False
67,phrase_line,b,a,-1,ντων,False,False,True,,,False
68,phrase_line,a,a,-1,σε,False,False,True,,,True
