id,m/p,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,TRUE
1,phrase_line,a,0,0,ε,FALSE,FALSE,FALSE,,,FALSE
2,phrase_line,c,o2,2,κύ,TRUE,FALSE,FALSE,dd,,FALSE
3,phrase_line,c,0,0,κλω,FALSE,FALSE,FALSE,dd,,FALSE
4,phrase_line,c,0,0,σεν,FALSE,FALSE,TRUE,,,FALSE
5,phrase_line,c,p0,0,η,FALSE,FALSE,FALSE,,,FALSE
6,phrase_line,b,a,-1,μάς,TRUE,TRUE,TRUE,"di,kl","di,kl",FALSE
7,phrase_line,a,a,-1,-,TRUE,FALSE,TRUE,"di,kl",,FALSE
8,phrase_line,G,a,-1,ε,FALSE,FALSE,FALSE,,,FALSE
9,phrase_line,a,o,1,σχά,TRUE,FALSE,FALSE,,,FALSE
10,phrase_line,b,o,1,τη,FALSE,FALSE,TRUE,,,FALSE
11,phrase_line,c,oo,1,ά,TRUE,FALSE,FALSE,,,FALSE
12,phrase_line,b,a,-1,βυσ,FALSE,FALSE,FALSE,,,FALSE
13,phrase_line,a,a,-1,σος,FALSE,FALSE,TRUE,,,TRUE
14,phrase_line,a,0,0,ουκ,FALSE,FALSE,TRUE,,,FALSE
15,phrase_line,"b,c",pkk,"1,1",έ,TRUE,FALSE,FALSE,,,FALSE
16,phrase_line,a,a2,-2,στιν,FALSE,FALSE,TRUE,,,FALSE
17,phrase_line,b,p,1,ο,FALSE,FALSE,TRUE,,,FALSE
18,phrase_line,G,a2,-2,ρυ,FALSE,FALSE,FALSE,,,FALSE
19,phrase_line,"a,b",okk,"1,1",ό,TRUE,FALSE,FALSE,,,FALSE
20,phrase_line,c,o,1,με,FALSE,TRUE,FALSE,"kl,v","kl,v",FALSE
21,phrase_line,b,a,-1,-,FALSE,FALSE,FALSE,"kl,v",,FALSE
22,phrase_line,c,o,1,νος,FALSE,TRUE,TRUE,dd,,FALSE
23,phrase_line,d,p,1,-,FALSE,FALSE,TRUE,,,TRUE
24,phrase_line,b,a2,-2,ε,FALSE,FALSE,FALSE,,,FALSE
25,phrase_line,c,o,1,λο,FALSE,FALSE,FALSE,,,FALSE
26,phrase_line,d,p,1,γί,TRUE,FALSE,FALSE,,,FALSE
27,phrase_line,c,a,-1,σθη,FALSE,FALSE,FALSE,,,FALSE
28,phrase_line,c,0,0,μεν,FALSE,FALSE,TRUE,,,FALSE
29,phrase_line,d,p,1,ως,FALSE,FALSE,TRUE,,,FALSE
30,phrase_line,c,a,-1,πρό,TRUE,FALSE,FALSE,,,FALSE
31,phrase_line,b,a,-1,βα,FALSE,FALSE,FALSE,kl,,FALSE
32,phrase_line,a,a,-1,τα,FALSE,FALSE,TRUE,,,FALSE
33,phrase_line,c,k,2,σφα,FALSE,TRUE,FALSE,v,v,FALSE
34,phrase_line,b,a,-1,-,FALSE,FALSE,FALSE,,,FALSE
35,phrase_line,c,o,1,γής,TRUE,FALSE,TRUE,dd,,TRUE
36,phrase_line,d,p,1,σώ,TRUE,FALSE,FALSE,,,FALSE
37,phrase_line,c,a,-1,σον,FALSE,FALSE,TRUE,,,FALSE
38,phrase_line,c,0,0,τον,FALSE,FALSE,TRUE,,,FALSE
39,phrase_line,c,0,0,λα,FALSE,FALSE,FALSE,,,FALSE
40,phrase_line,d,p,1,όν,TRUE,FALSE,TRUE,,,FALSE
41,phrase_line,c,a,-1,σου,FALSE,FALSE,TRUE,,,FALSE
42,phrase_line,c,p0,0,ο,FALSE,FALSE,TRUE,,,FALSE
43,phrase_line,b,a,-1,θε,FALSE,FALSE,FALSE,,,FALSE
44,phrase_line,c,oo,1,ός,TRUE,FALSE,TRUE,,,FALSE
45,phrase_line,b,a,-1,η,FALSE,FALSE,FALSE,,,FALSE
46,phrase_line,a,a,-1,μών,TRUE,FALSE,TRUE,kl,,TRUE
47,phrase_line,G,a,-1,συ,FALSE,FALSE,TRUE,,,FALSE
48,phrase_line,a,o,1,γαρ,FALSE,FALSE,TRUE,,,FALSE
49,phrase_line,b,o,1,ι,FALSE,FALSE,FALSE,,,FALSE
50,phrase_line,c,o,1,σχύς,TRUE,TRUE,TRUE,dd,,FALSE
51,phrase_line,d,p,1,-,TRUE,FALSE,TRUE,,,TRUE
52,phrase_line,c,a,-1,των,FALSE,FALSE,TRUE,,,FALSE
53,phrase_line,d,p,1,α,FALSE,FALSE,FALSE,,,FALSE
54,phrase_line,c,a,-1,σθε,FALSE,FALSE,FALSE,,,FALSE
55,phrase_line,d,p,1,νού,TRUE,FALSE,FALSE,,,FALSE
56,phrase_line,c,a,-1,ντων,FALSE,FALSE,TRUE,,,FALSE
57,phrase_line,c,p0,0,και,FALSE,FALSE,TRUE,,,FALSE
58,phrase_line,b,a,-1,ε,FALSE,FALSE,FALSE,kl,,FALSE
59,phrase_line,a,a,-1,πα,FALSE,FALSE,FALSE,,,FALSE
60,phrase_line,c,oo2,2,νόρ,TRUE,FALSE,FALSE,,,FALSE
61,phrase_line,b,a,-1,θω,FALSE,FALSE,FALSE,,,FALSE
62,phrase_line,a,a,-1,σις,FALSE,FALSE,TRUE,,,TRUE
