id,m/p,pitches,voiced_unit,intervals,syl,syl_is_accented,syl_is_continue,is_last_syl_word,Voiceless,Voiceless_continue,is_last_syllable_phrase
0,martyria,a,,,,,,,,,True
1,phrase_line,a,0,0,σου,False,False,True,,,False
2,phrase_line,a,0,0,η,False,False,False,,,False
3,phrase_line,a,0,0,τρο,False,False,False,"g,is",,False
4,phrase_line,b,o,1,παι,False,False,False,,,False
5,phrase_line,c,p,1,ού,True,False,False,,,False
6,phrase_line,a,a2,-2,χος,False,False,True,,,False
7,phrase_line,b,o,1,δε,False,False,False,,,False
8,phrase_line,c,o,1,ξι,False,False,False,g,,False
9,phrase_line,d,o,1,ά,True,False,True,ap,,True
10,phrase_line,c,a,-1,θε,False,False,False,,,False
11,phrase_line,c,0,0,ο,False,False,False,,,False
12,phrase_line,d,o,1,πρε,False,False,False,"g,is",,False
13,phrase_line,e,p,1,πώς,True,False,True,anr,,False
14,phrase_line,d,a,-1,εν,False,False,True,kl,,False
15,phrase_line,a,a3,-3,ι,False,False,False,,,False
16,phrase_line,d,o3,3,σχύ,True,False,False,"g,is",,False
17,phrase_line,d,p0,0,ει,False,False,True,klr,,False
18,phrase_line,c,a,-1,δε,False,True,False,"klr,v","klr,v",False
19,phrase_line,b,a,-1,-,False,False,False,"klr,v",,False
20,phrase_line,c,oo,1,δό,True,False,False,psr,,False
21,phrase_line,b,a,-1,ξα,False,False,False,,,False
22,phrase_line,a,a,-1,σται,False,False,True,ap,,True
23,martyria,a,,,,,,,,,True
24,phrase_line,e,o4,4,αύ,True,False,False,,,False
25,phrase_line,e,0,0,τη,False,False,True,,,False
26,phrase_line,e,p0,0,γαρ,False,False,True,klr,,False
27,phrase_line,d,a,-1,α,False,False,False,l,l,False
28,phrase_line,e,p,1,θά,True,False,False,l,l,False
29,phrase_line,d,a,-1,να,False,False,False,,,False
30,phrase_line,d,0,0,τε,False,False,True,ap,,True
31,martyria,d,,,,,,,,,True
32,phrase_line,c,a,-1,ως,False,False,True,,,False
33,phrase_line,c,0,0,παν,False,False,False,,,False
34,phrase_line,d,o,1,σθε,False,False,False,"g,is",,False
35,phrase_line,e,o,1,νής,True,False,True,,,False
36,phrase_line,e,0,0,υ,False,False,False,,,False
37,phrase_line,e,0,0,πε,False,False,False,,,False
38,phrase_line,f,o,1,να,False,False,False,,,False
39,phrase_line,g,p,1,ντί,True,False,False,anr,,False
40,phrase_line,f,a,-1,ους,False,True,False,"klr,v","klr,v",False
41,phrase_line,e,a,-1,-,False,False,False,"klr,v",,False
42,phrase_line,f,oo,1,έ,True,False,False,psr,,False
43,phrase_line,e,a,-1,θραυ,False,False,False,"g,is",,False
44,phrase_line,d,aa,-1,σε,False,False,True,apr,,True
45,phrase_line,c,a,-1,τους,False,False,True,kl,kl,False
46,phrase_line,a,a2,-2,ι,False,False,False,kl,,False
47,phrase_line,b,o,1,σρα,False,False,False,is,,False
48,phrase_line,c,o,1,η,False,False,False,,,False
49,phrase_line,f,o3,3,λί,True,True,False,"klr,v",v,False
50,phrase_line,e,a,-1,-,True,True,False,v,,False
51,phrase_line,f,p,1,-,True,False,False,,,False
52,phrase_line,"e,d",s,"-1,-1",τας,False,False,True,ap,,True
53,phrase_line,c,a,-1,ο,False,False,False,,,False
54,phrase_line,e,p2,2,δόν,True,False,True,klr,,False
55,phrase_line,c,a2,-2,βυ,False,False,False,,,False
56,phrase_line,c,oo0,0,θού,True,False,True,"klr,ps",,False
57,phrase_line,b,a,-1,και,False,False,False,,,False
58,phrase_line,a,a,-1,νουρ,False,False,False,,,False
59,phrase_line,d,p3,3,γή,True,True,False,psr,,False
60,phrase_line,c,a,-1,-,True,False,False,,,False
61,phrase_line,c,0,0,σα,False,True,False,v,v,False
62,phrase_line,b,a,-1,-,False,True,False,v,,False
63,phrase_line,b,p0,0,-,False,True,False,klr,,False
64,phrase_line,a,a,-1,-,False,False,False,,,False
65,phrase_line,a,0,0,σα,False,False,False,ap,,True
